#año,area,politica,grupo,programa,EU
2011,1,,,,Oinarrizko zerbitzu publikoak
2011,2,,,,Gizarte-babesaren eta sustapenaren jarduketak
2011,3,,,,Lehentasunezko ondasun publikoen ekoizpena
2011,4,,,,Jarduketa ekonomikoak
2011,9,,,,Izaera orokorreko jarduketak
2011,1,1,,,Justizia
2011,1,3,,,Herritarren segurtasuna eta espetxeak
2011,1,4,,,Kanpo-politika
2011,2,1,,,Pentsioak
2011,2,2,,,Beste prestazio ekonomiko batzuk
2011,2,3,,,Gizarte-zerbitzuak eta gizarte-sustapena
2011,2,4,,,Enpleguaren sustapena
2011,2,6,,,Etxebizitza eskuratzea eta eraikuntzaren sustapena
2011,3,1,,,Osasuna
2011,3,2,,,Hezkuntza
2011,3,3,,,Kultura
2011,4,1,,,"Nekazaritza, abeltzaintza eta elikagaigintza"
2011,4,2,,,Industria eta energia
2011,4,3,,,"Merkataritza, turismoa eta ETEak"
2011,4,4,,,Garraiorako diru-laguntzak
2011,4,5,,,Azpiegiturak
2011,4,6,,,"Ikerketa, garapena eta berrikuntza"
2011,4,9,,,Izaera ekonomikoko beste jarduketa batzuk
2011,9,1,,,Goi-zuzendaritza
2011,9,2,,,Izaera orokorreko zerbitzuak
2011,9,3,,,Finantza- eta zerga-administrazioa
2011,9,4,,,Transferentziak beste Administrazio Publiko batzuetara
2011,9,5,,,Zor publikoa; Herri-zorra
2011,1,1,1,,Justizia-administrazio orokorra
2011,1,1,2,,Justizia-administrazioa
2011,1,1,4,,Adingabearen babes juridikoa
2011,1,3,1,,Segurtasuneko eta babes zibileko administrazio orokorra
2011,1,3,2,,Segurtasuna eta ordena publikoa
2011,1,3,3,,Espetxeen alorra
2011,1,3,4,,Babes zibila
2011,1,4,3,,Garapenerako lankidetza
2011,1,4,4,,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2011,1,4,5,,Europar Batasunarekiko harremanak
2011,1,4,6,,Kanpo-harremanak
2011,2,1,1,,Kotizaziopeko pentsioa
