#año,area,politica,grupo,programa,descripcion
2024,1,,,,Servicios públicos básicos
2024,1,1,,,Justicia
2024,1,1,1,,Administración general de justicia
2024,1,1,1,2,Dirección y servicios generales de justicia
2024,1,1,1,5,Formación del personal de justicia
2024,1,1,2,,Administración de justicia
2024,1,1,2,1,Órganos judiciales
2024,1,1,4,,Protección jurídica del menor
2024,1,1,4,1,Protección jurídica del menor
2024,1,3,,,Seguridad ciudadana e instituciones penitenciarias
2024,1,3,1,,Administración general de seguridad y protección civil
2024,1,3,1,1,Dirección y servicios generales de seguridad y protección civil
2024,1,3,1,2,Formación de las fuerzas de la Policía Foral
2024,1,3,2,,Seguridad y orden público
2024,1,3,2,1,Seguridad ciudadana
2024,1,3,2,2,Seguridad vial
2024,1,3,2,4,Actuaciones policiales en otras materias
2024,1,3,3,,Instituciones penitenciarias
2024,1,3,3,1,Centros e instituciones penitenciarias
2024,1,3,3,2,"Trabajo, formación y asistencia a reclusos"
2024,1,3,4,,Protección civil
2024,1,3,4,1,Protección civil
2024,1,3,4,2,Prevención y extinción de incendios y salvamento
2024,1,3,5,,Protección de datos
2024,1,3,5,1,Protección de datos de carácter personal
2024,1,4,,,Política exterior
2024,1,4,3,,Cooperación para el desarrollo
2024,1,4,3,1,Cooperación para el desarrollo
2024,1,4,4,,"Cooperación, promoción y difusión cultural en el exterior"
2024,1,4,4,1,"Cooperación, promoción y difusión cultural en el exterior"
2024,1,4,5,,Relaciones con la Unión Europea
2024,1,4,5,1,Relaciones con la Unión Europea
2024,1,4,6,,Relaciones con el exterior
2024,1,4,6,1,Relaciones con el exterior
2024,2,,,,Actuaciones de protección y promoción social
2024,2,1,,,Pensiones
2024,2,1,1,,Pensiones contributivas
2024,2,1,1,1,Pensiones contributivas
2024,2,1,1,2,Pensiones de clases pasivas
2024,2,1,1,3,Otras pensiones y prestaciones de clases pasivas
2024,2,1,2,,Pensiones no contributivas
2024,2,1,2,1,Pensiones no contributivas y prestaciones asistenciales
2024,2,2,,,Otras prestaciones económicas
2024,2,2,2,,Prestaciones económicas del mutualismo administrativo
2024,2,2,2,1,Montepíos y mutualidades
2024,2,2,3,,Prestaciones económicas por cese de actividad
2024,2,2,3,1,Prestaciones económicas por cese de actividad
2024,2,2,4,,Otras prestaciones económicas
2024,2,2,4,1,Otras prestaciones económicas
2024,2,3,,,Servicios sociales y promoción social
2024,2,3,1,,Acción social
2024,2,3,1,0,Programación general de protección y promoción social
2024,2,3,1,2,Acciones en favor de la ciudadanía nacional en el exterior
2024,2,3,1,3,Servicios sociales a personas con discapacidad
2024,2,3,1,4,Servicios sociales a personas mayores
2024,2,3,1,5,Protección a la familia
2024,2,3,1,6,Reinserción social
2024,2,3,1,7,Atención a la infancia
2024,2,3,1,8,Acción social en favor del personal
2024,2,3,1,9,Integración de los inmigrantes
2024,2,3,1,A,Ayudas a entes locales para acción social
2024,2,3,1,B,Autonomía personal y atención a la dependencia
2024,2,3,2,,Promoción social
2024,2,3,2,1,Promoción y servicios a la juventud
2024,2,3,2,2,Igualdad de oportunidades entre mujeres y hombres
2024,2,3,2,3,Actuaciones para la previsión integral de la violencia de género
2024,2,3,2,4,Dirección y servicios generales de promoción social
2024,2,3,3,,Administración general de protección social
2024,2,3,3,1,Dirección y servicios generales de protección social
2024,2,4,,,Fomento del empleo
2024,2,4,1,,Promoción del empleo y de la inserción laboral
2024,2,4,1,1,Fomento de la inserción y estabilidad laboral
2024,2,4,1,2,Desarrollo de la economía social y de la responsabilidad social de las empresas
2024,2,4,1,3,Actuaciones en el mercado de trabajo
2024,2,4,2,,Formación profesional no reglada
2024,2,4,2,1,Formación profesional ocupacional
2024,2,4,2,2,"Escuelas taller, casas de oficios y talleres de empleo"
2024,2,5,,,Desempleo
2024,2,5,1,,Asistencia al desempleo
2024,2,5,1,1,Prestaciones a los desempleados
2024,2,6,,,Acceso a la vivienda y fomento de la edificación
2024,2,6,1,,Acceso a la vivienda y fomento de la edificación
2024,2,6,1,1,Dirección y servicios generales de vivienda
2024,2,6,1,2,Promoción y administración de viviendas
2024,2,6,1,3,Ordenación y fomento de la edificación
2024,2,6,1,4,"Ayudas para rehabilitación, construcción y acceso a la vivienda"
2024,2,6,1,5,Mantenimiento y mejora del patrimonio inmobiliario
2024,2,6,1,6,Mantenimiento y mejora de la infraestructura urbana en el ámbito municipal
2024,2,6,1,7,Urbanismo y política del suelo
2024,3,,,,Producción de bienes públicos de carácter preferente
2024,3,1,,,Sanidad
2024,3,1,1,,Administración general de sanidad
2024,3,1,1,1,Dirección y servicios generales de sanidad y política social
2024,3,1,1,2,Formación sanitaria
2024,3,1,2,,"Hospitales, servicios asistenciales y centros de salud"
2024,3,1,2,1,Asistencia sanitaria del Mutualismo Administrativo
2024,3,1,2,2,Atención primaria de salud
2024,3,1,2,3,Atención especializada de salud
2024,3,1,2,4,Asistencia psiquiátrica y psíquica
2024,3,1,2,6,Asistencia sanitaria en otras instituciones sanitarias
2024,3,1,2,7,Servicios auxiliares de centros sanitarios
2024,3,1,2,8,Infraestructura y equipamiento de centros sanitarios
2024,3,1,2,9,Servicios complementarios
2024,3,1,3,,Acciones públicas relativas a la salud
2024,3,1,3,1,Oferta y uso racional de medicamentos y productos sanitarios
2024,3,1,3,2,Salud pública y sanidad exterior
2024,3,1,3,3,Seguridad alimentaria y nutrición
2024,3,1,3,4,"Terapias avanzadas, medicina regenerativa y trasplantes"
2024,3,1,3,9,Otras acciones públicas de protección de la salud
2024,3,2,,,Educación
2024,3,2,1,,Administración general de educación
2024,3,2,1,1,Dirección y servicios generales de educación
2024,3,2,1,2,Formación permanente del profesorado de Educación
2024,3,2,2,,Enseñanza
2024,3,2,2,0,Dirección y servicios generales de enseñanza
2024,3,2,2,1,Educación infantil
2024,3,2,2,2,Educación secundaria
2024,3,2,2,3,Enseñanzas universitarias
2024,3,2,2,4,Educación especial
2024,3,2,2,5,Enseñanzas artísticas
2024,3,2,2,7,Educación compensatoria y de adultos
2024,3,2,2,8,Educación permanente y a distancia no universitaria
2024,3,2,2,9,"Otras enseñanzas (idiomas, especiales y otros)"
2024,3,2,2,A,Nuevas tecnologías aplicadas a la educación
2024,3,2,2,C,Bachillerato
2024,3,2,2,D,Educación primaria
2024,3,2,2,E,Formación profesional
2024,3,2,2,F,Educación en el exterior
2024,3,2,2,G,Deporte en edad escolar y en la universidad
2024,3,2,3,,Promoción educativa
2024,3,2,3,1,Becas y ayudas a estudiantes
2024,3,2,4,,Servicios complementarios de la enseñanza
2024,3,2,4,1,Servicios complementarios de la enseñanza
2024,3,2,4,2,Apoyo a otras actividades educativas
2024,3,2,5,,Infraestructura
2024,3,2,5,1,"Construcción, equipamiento y material didáctico"
2024,3,3,,,Cultura
2024,3,3,1,,Administración general de cultura
2024,3,3,1,1,Dirección y servicios generales de cultura
2024,3,3,2,,Bibliotecas y archivos
2024,3,3,2,1,Archivos
2024,3,3,2,2,Bibliotecas
2024,3,3,3,,Museos y artes plásticas
2024,3,3,3,1,Museos
2024,3,3,3,2,Exposiciones
2024,3,3,4,,Promoción cultural
2024,3,3,4,1,Promoción y cooperación cultural
2024,3,3,4,2,Promoción del libro y publicaciones culturales
2024,3,3,4,3,Fomento de las industrias culturales
2024,3,3,5,,Artes escénicas
2024,3,3,5,1,Música y danza
2024,3,3,5,2,"Teatro, cinematografía y otras artes escénicas"
2024,3,3,6,,Deportes y educación física
2024,3,3,6,1,Fomento y apoyo de las actividades deportivas
2024,3,3,6,2,Fomento y apoyo de las actividades deportivas
2024,3,3,7,,Arqueología y protección del patrimonio histórico-artístico
2024,3,3,7,1,"Administración, conservación y restauración del patrimonio histórico"
2024,3,3,7,2,Conservación y restauración de bienes culturales
2024,3,3,7,4,Arqueología
2024,4,,,,Actuaciones de carácter económico
2024,4,1,,,"Agricultura, ganadería y alimentación"
2024,4,1,1,,"Administración general de agricultura, ganadería y alimentación"
2024,4,1,1,1,"Dirección y servicios generales de agricultura, ganadería y alimentación"
2024,4,1,2,,Mejoras de las estructuras agrarias y de los sistemas productivos
2024,4,1,2,1,"Competitividad, calidad y defensa de la producción agrícola"
2024,4,1,2,2,"Competitividad, calidad y defensa de la producción ganadera"
2024,4,1,2,3,Regulación de los mercados agrarios
2024,4,1,3,,Competitividad de la industria agroalimentaria y calidad alimentaria
2024,4,1,3,1,Competitividad de la industria agroalimentaria y calidad alimentaria
2024,4,1,4,,Desarrollo rural
2024,4,1,4,1,Gestión de los recursos hídricos para el regadío
2024,4,1,4,2,Desarrollo sostenible del medio rural
2024,4,1,4,3,Reordenación de la propiedad y concentración parcelaria
2024,4,1,4,4,Fomento y mejora de las infraestructuras agrarias
2024,4,1,4,5,Defensa del comunal
2024,4,1,6,,Previsión de riesgos en las producciones agrarias
2024,4,1,6,1,Previsión de riesgos en las producciones agrarias
2024,4,2,,,Industria y energía
2024,4,2,1,,Actuaciones administrativas sobre la industria
2024,4,2,1,1,Dirección y servicios generales de industria y energía
2024,4,2,1,2,Regulación y protección de la propiedad industrial
2024,4,2,1,3,"Calidad, competitividad y seguridad industrial"
2024,4,2,1,4,Elaboración de normativas y actuaciones administrativas
2024,4,2,2,,Reconversión y desarrollo industrial
2024,4,2,2,1,Incentivos regionales a la localización industrial
2024,4,2,2,2,Desarrollo industrial
