#año,area,politica,grupo,programa,descripcion
2020,1,,,,Servicios públicos básicos
2020,1,1,,,Justicia
2020,1,1,1,,Administración general de justicia
2020,1,1,1,2,Dirección y servicios generales de justicia
2020,1,1,1,5,Formación del personal de justicia
2020,1,1,2,,Administración de justicia
2020,1,1,2,1,Órganos judiciales
2020,1,1,4,,Protección jurídica del menor
2020,1,1,4,1,Protección jurídica del menor
2020,1,3,,,Seguridad ciudadana e instituciones penitenciarias
2020,1,3,1,,Administración general de seguridad y protección civil
2020,1,3,1,1,Dirección y servicios generales de seguridad y protección civil
2020,1,3,1,2,Formación de las fuerzas de la Policía Foral
2020,1,3,2,,Seguridad y orden público
2020,1,3,2,1,Seguridad ciudadana
2020,1,3,2,2,Seguridad vial
2020,1,3,2,4,Actuaciones policiales en otras materias
2020,1,3,3,,Instituciones penitenciarias
2020,1,3,3,1,Centros e instituciones penitenciarias
2020,1,3,3,2,"Trabajo, formación y asistencia a reclusos"
2020,1,3,4,,Protección civil
2020,1,3,4,1,Protección civil
2020,1,3,4,2,Prevención y extinción de incendios y salvamento
2020,1,3,5,,Protección de datos
2020,1,3,5,1,Protección de datos de carácter personal
2020,1,4,,,Política exterior
2020,1,4,3,,Cooperación para el desarrollo
2020,1,4,3,1,Cooperación para el desarrollo
2020,1,4,4,,"Cooperación, promoción y difusión cultural en el exterior"
2020,1,4,4,1,"Cooperación, promoción y difusión cultural en el exterior"
2020,1,4,5,,Relaciones con la Unión Europea
2020,1,4,5,1,Relaciones con la Unión Europea
2020,1,4,6,,Relaciones con el exterior
2020,1,4,6,1,Relaciones con el exterior
2020,2,,,,Actuaciones de protección y promoción social
2020,2,1,,,Pensiones
2020,2,1,1,,Pensiones contributivas
2020,2,1,1,1,Pensiones contributivas
2020,2,1,1,2,Pensiones de clases pasivas
2020,2,1,1,3,Otras pensiones y prestaciones de clases pasivas
2020,2,1,2,,Pensiones no contributivas
2020,2,1,2,1,Pensiones no contributivas y prestaciones asistenciales
2020,2,2,,,Otras prestaciones económicas
2020,2,2,2,,Prestaciones económicas del mutualismo administrativo
2020,2,2,2,1,Montepíos y mutualidades
2020,2,2,3,,Prestaciones económicas por cese de actividad
2020,2,2,3,1,Prestaciones económicas por cese de actividad
2020,2,2,4,,Otras prestaciones económicas
2020,2,2,4,1,Otras prestaciones económicas
2020,2,3,,,Servicios sociales y promoción social
2020,2,3,1,,Acción social
2020,2,3,1,0,Programación general de protección y promoción social
2020,2,3,1,2,Acciones en favor de la ciudadanía nacional en el exterior
2020,2,3,1,3,Servicios sociales a personas con discapacidad
2020,2,3,1,4,Servicios sociales a personas mayores
2020,2,3,1,5,Protección a la familia
2020,2,3,1,6,Reinserción social
2020,2,3,1,7,Atención a la infancia
2020,2,3,1,8,Acción social en favor del personal
2020,2,3,1,9,Integración de los inmigrantes
2020,2,3,1,A,Ayudas a entes locales para acción social
2020,2,3,1,B,Autonomía personal y atención a la dependencia
2020,2,3,2,,Promoción social
2020,2,3,2,1,Promoción y servicios a la juventud
2020,2,3,2,2,Igualdad de oportunidades entre mujeres y hombres
2020,2,3,2,3,Actuaciones para la previsión integral de la violencia de género
2020,2,3,2,4,Dirección y servicios generales de promoción social
2020,2,3,3,,Administración general de protección social
2020,2,3,3,1,Dirección y servicios generales de protección social
2020,2,4,,,Fomento del empleo
2020,2,4,1,,Promoción del empleo y de la inserción laboral
2020,2,4,1,1,Fomento de la inserción y estabilidad laboral
2020,2,4,1,2,Desarrollo de la economía social y de la responsabilidad social de las empresas
2020,2,4,1,3,Actuaciones en el mercado de trabajo
2020,2,4,2,,Formación profesional no reglada
2020,2,4,2,1,Formación profesional ocupacional
2020,2,4,2,2,"Escuelas taller, casas de oficios y talleres de empleo"
2020,2,5,,,Desempleo
2020,2,5,1,,Asistencia al desempleo
2020,2,5,1,1,Prestaciones a los desempleados
2020,2,6,,,Acceso a la vivienda y fomento de la edificación
2020,2,6,1,,Acceso a la vivienda y fomento de la edificación
2020,2,6,1,1,Dirección y servicios generales de vivienda
2020,2,6,1,2,Promoción y administración de viviendas
2020,2,6,1,3,Ordenación y fomento de la edificación
2020,2,6,1,4,"Ayudas para rehabilitación, construcción y acceso a la vivienda"
2020,2,6,1,5,Mantenimiento y mejora del patrimonio inmobiliario
2020,2,6,1,6,Mantenimiento y mejora de la infraestructura urbana en el ámbito municipal
2020,2,6,1,7,Urbanismo y política del suelo
2020,3,,,,Producción de bienes públicos de carácter preferente
2020,3,1,,,Sanidad
2020,3,1,1,,Administración general de sanidad
2020,3,1,1,1,Dirección y servicios generales de sanidad y política social
2020,3,1,1,2,Formación sanitaria
2020,3,1,2,,"Hospitales, servicios asistenciales y centros de salud"
2020,3,1,2,1,Asistencia sanitaria del Mutualismo Administrativo
2020,3,1,2,2,Atención primaria de salud
2020,3,1,2,3,Atención especializada de salud
2020,3,1,2,4,Asistencia psiquiátrica y psíquica
2020,3,1,2,6,Asistencia sanitaria en otras instituciones sanitarias
2020,3,1,2,7,Servicios auxiliares de centros sanitarios
2020,3,1,2,8,Infraestructura y equipamiento de centros sanitarios
2020,3,1,2,9,Servicios complementarios
2020,3,1,3,,Acciones públicas relativas a la salud
2020,3,1,3,1,Oferta y uso racional de medicamentos y productos sanitarios
2020,3,1,3,2,Salud pública y sanidad exterior
2020,3,1,3,3,Seguridad alimentaria y nutrición
2020,3,1,3,4,"Terapias avanzadas, medicina regenerativa y trasplantes"
2020,3,1,3,9,Otras acciones públicas de protección de la salud
2020,3,2,,,Educación
2020,3,2,1,,Administración general de educación
2020,3,2,1,1,Dirección y servicios generales de educación
2020,3,2,1,2,Formación permanente del profesorado de Educación
2020,3,2,2,,Enseñanza
2020,3,2,2,0,Dirección y servicios generales de enseñanza
2020,3,2,2,1,Educación infantil
2020,3,2,2,2,Educación secundaria
2020,3,2,2,3,Enseñanzas universitarias
2020,3,2,2,4,Educación especial
2020,3,2,2,5,Enseñanzas artísticas
2020,3,2,2,7,Educación compensatoria y de adultos
2020,3,2,2,8,Educación permanente y a distancia no universitaria
2020,3,2,2,9,"Otras enseñanzas (idiomas, especiales y otros)"
2020,3,2,2,A,Nuevas tecnologías aplicadas a la educación
2020,3,2,2,C,Bachillerato
2020,3,2,2,D,Educación primaria
2020,3,2,2,E,Formación profesional
2020,3,2,2,F,Educación en el exterior
2020,3,2,2,G,Deporte en edad escolar y en la universidad
2020,3,2,3,,Promoción educativa
2020,3,2,3,1,Becas y ayudas a estudiantes
2020,3,2,4,,Servicios complementarios de la enseñanza
2020,3,2,4,1,Servicios complementarios de la enseñanza
2020,3,2,4,2,Apoyo a otras actividades educativas
2020,3,2,5,,Infraestructura
2020,3,2,5,1,"Construcción, equipamiento y material didáctico"
2020,3,3,,,Cultura
2020,3,3,1,,Administración general de cultura
2020,3,3,1,1,Dirección y servicios generales de cultura
2020,3,3,2,,Bibliotecas y archivos
2020,3,3,2,1,Archivos
2020,3,3,2,2,Bibliotecas
2020,3,3,3,,Museos y artes plásticas
2020,3,3,3,1,Museos
2020,3,3,3,2,Exposiciones
2020,3,3,4,,Promoción cultural
2020,3,3,4,1,Promoción y cooperación cultural
2020,3,3,4,2,Promoción del libro y publicaciones culturales
2020,3,3,4,3,Fomento de las industrias culturales
2020,3,3,5,,Artes escénicas
2020,3,3,5,1,Música y danza
2020,3,3,5,2,"Teatro, cinematografía y otras artes escénicas"
2020,3,3,6,,Deportes y educación física
2020,3,3,6,1,Fomento y apoyo de las actividades deportivas
2020,3,3,7,,Arqueología y protección del patrimonio histórico-artístico
2020,3,3,7,1,"Administración, conservación y restauración del patrimonio histórico"
2020,3,3,7,2,Conservación y restauración de bienes culturales
2020,3,3,7,4,Arqueología
2020,4,,,,Actuaciones de carácter económico
2020,4,1,,,"Agricultura, ganadería y alimentación"
2020,4,1,1,,"Administración general de agricultura, ganadería y alimentación"
2020,4,1,1,1,"Dirección y servicios generales de agricultura, ganadería y alimentación"
2020,4,1,2,,Mejoras de las estructuras agrarias y de los sistemas productivos
2020,4,1,2,1,"Competitividad, calidad y defensa de la producción agrícola"
2020,4,1,2,2,"Competitividad, calidad y defensa de la producción ganadera"
2020,4,1,2,3,Regulación de los mercados agrarios
2020,4,1,3,,Competitividad de la industria agroalimentaria y calidad alimentaria
2020,4,1,3,1,Competitividad de la industria agroalimentaria y calidad alimentaria
2020,4,1,4,,Desarrollo rural
2020,4,1,4,1,Gestión de los recursos hídricos para el regadío
2020,4,1,4,2,Desarrollo sostenible del medio rural
2020,4,1,4,3,Reordenación de la propiedad y concentración parcelaria
2020,4,1,4,4,Fomento y mejora de las infraestructuras agrarias
2020,4,1,4,5,Defensa del comunal
2020,4,1,6,,Previsión de riesgos en las producciones agrarias
2020,4,1,6,1,Previsión de riesgos en las producciones agrarias
2020,4,2,,,Industria y energía
2020,4,2,1,,Actuaciones administrativas sobre la industria
2020,4,2,1,1,Dirección y servicios generales de industria y energía
2020,4,2,1,2,Regulación y protección de la propiedad industrial
2020,4,2,1,3,"Calidad, competitividad y seguridad industrial"
2020,4,2,1,4,Elaboración de normativas y actuaciones administrativas
2020,4,2,2,,Reconversión y desarrollo industrial
2020,4,2,2,1,Incentivos regionales a la localización industrial
2020,4,2,2,2,Desarrollo industrial
2020,4,2,2,3,Reconversión y reindustrialización de empresas
2020,4,2,2,4,Apoyo financiero y participación en empresas
2020,4,2,5,,Ordenación y eficiencia energética
2020,4,2,5,1,Normativa y desarrollo energético
2020,4,2,5,2,Incentivos sobre medidas energéticas
2020,4,3,,,"Comercio, Turismo y Pymes"
2020,4,3,1,,Comercio
2020,4,3,1,1,Promoción comercial e internacionalización de la empresa
2020,4,3,1,2,Dirección y servicios generales de comercio y turismo
2020,4,3,1,3,Ordenación y promoción del comercio exterior
2020,4,3,1,4,Ordenación y modernización de las estructuras comerciales
2020,4,3,2,,Ordenación y promoción turística
2020,4,3,2,1,Coordinación y promoción del turismo
2020,4,3,2,2,Gestión de establecimientos turísticos
2020,4,3,2,3,Promoción hotelera y de complejos turísticos
2020,4,3,3,,Desarrollo empresarial
2020,4,3,3,1,Apoyo a la pequeña y mediana empresa
2020,4,3,3,2,Desarrollo cooperativo y asociativo
2020,4,4,,,Subvenciones al transporte
2020,4,4,1,,Subvenciones al transporte
2020,4,4,1,1,Subvenciones y apoyo al transporte terrestre
2020,4,4,1,3,Subvenciones y apoyo al transporte aéreo
2020,4,5,,,Infraestructuras
2020,4,5,1,,Administración general de infraestructuras
2020,4,5,1,1,Estudios y servicios de asistencia técnica en obras públicas
2020,4,5,1,2,Dirección y servicios generales de obras públicas
2020,4,5,1,3,Dirección y servicios generales de medio ambiente
2020,4,5,1,4,Dirección y servicios generales del transporte
2020,4,5,1,5,Estudios y servicios de asistencia técnica en urbanismo
2020,4,5,1,6,Dirección y servicios generales de urbanismo
2020,4,5,2,,Recursos hidráulicos
2020,4,5,2,1,Gestión e infraestructuras de recursos hidráulicos
2020,4,5,2,2,Normativa y ordenación territorial de los recursos hídricos
2020,4,5,2,3,Estabilización de márgenes fluviales
2020,4,5,3,,Infraestructuras del transporte terrestre
2020,4,5,3,1,Infraestructura del transporte ferroviario
2020,4,5,3,2,Creación de infraestructura de carreteras
2020,4,5,3,3,Conservación y explotación de carreteras
2020,4,5,3,4,Ordenación e inspección del transporte terrestre
2020,4,5,5,,Infraestructuras del transporte aéreo
2020,4,5,5,2,Infraestructuras de aeropuertos
2020,4,5,6,,Actuaciones medioambientales
2020,4,5,6,1,Calidad del agua
2020,4,5,6,2,Protección y mejora del medio ambiente
2020,4,5,6,3,Protección y mejora del medio natural
2020,4,5,6,4,Lucha contra la erosión
2020,4,5,6,5,Prevención y extinción de incendios
2020,4,5,6,6,Creación y mejora de comunales y pastos
2020,4,5,6,7,Conservación y mejora de masas forestales
2020,4,5,6,8,Repoblación forestal
2020,4,5,6,9,Actuaciones para la prevención de la contaminación y el cambio climático
2020,4,5,8,,"Infraestructura industrial, comercial y turística"
2020,4,5,8,1,Infraestructura industrial
2020,4,5,8,2,Infraestructura comercial
2020,4,5,8,3,Infraestructura turística
2020,4,5,9,,Electrificación y alumbrado
2020,4,5,9,1,Electrificación y alumbrado
2020,4,5,A,,Vías de comunicación en el medio rural
2020,4,5,A,1,Protección y conservación de vías pecuarias
2020,4,5,A,2,Creación y conservación de caminos rurales
2020,4,5,B,,Otros servicios del bienestar comunitario
2020,4,5,B,1,Otros servicios del bienestar comunitario
2020,4,6,,,"Investigación, desarrollo e innovación"
2020,4,6,2,,Investigación y estudios relacionados con los servicios públicos generales
2020,4,6,2,1,Investigación y estudios sociológicos
2020,4,6,2,2,Investigación y estudios estadísticos y económicos
2020,4,6,3,,Investigación básica
2020,4,6,3,1,Investigación científica
2020,4,6,3,2,Fomento y coordinación de la investigación científica y técnica
2020,4,6,5,,Investigación y desarrollo relacionados con la salud
2020,4,6,5,1,Investigación sanitaria
2020,4,6,6,,Investigación y desarrollo relacionados con la educación
2020,4,6,6,1,Investigación y evaluación educativa
2020,4,6,7,,Investigación y desarrollo en otros sectores
2020,4,6,7,2,"Investigación, desarrollo y experimentación en obras públicas y comunicaciones"
2020,4,6,7,3,Investigación y desarrollo tecnológico-industrial
2020,4,6,7,4,Investigación y experimentación agraria y forestal
2020,4,6,7,5,Investigación cultural
