#año,area,politica,grupo,programa,EU
2018,1,,,,Oinarrizko zerbitzu publikoak
2018,1,1,,,Justizia
2018,1,1,1,,Justizia-administrazio orokorra
2018,1,1,1,2,Justiziako zuzendaritza eta zerbitzu orokorrak
2018,1,1,1,5,Justiziako langileen prestakuntza
2018,1,1,2,,Justizia-administrazioa
2018,1,1,2,1,Organo judizialak
2018,1,1,4,,Adingabearen babes juridikoa
2018,1,1,4,1,Adingabearen babes juridikoa
2018,1,3,,,Herritarren segurtasuna eta espetxeak
2018,1,3,1,,Segurtasuneko eta babes zibileko administrazio orokorra
2018,1,3,1,1,Segurtasun eta babes zibileko zuzendaritza eta zerbitzu orokorrak
2018,1,3,1,2,Foruzaingoaren prestakuntza
2018,1,3,2,,Segurtasuna eta ordena publikoa
2018,1,3,2,1,Herritarren segurtasuna
2018,1,3,2,2,Bide-segurtasuna
2018,1,3,2,4,Beste alor batzuetako polizia-jarduketak
2018,1,3,3,,Espetxeen alorra
2018,1,3,3,1,Espetxeak
2018,1,3,3,2,"Presoentzako lana, prestakuntza eta laguntza"
2018,1,3,4,,Babes zibila
2018,1,3,4,1,Babes zibila
2018,1,3,4,2,Suteen prebenitu eta itzaltzeko eta salbamenduko zerbitzuak
2018,1,3,5,,Datu-babesa
2018,1,3,5,1,Datu pertsonalen babesa
2018,1,4,,,Kanpo-politika
2018,1,4,3,,Garapenerako lankidetza
2018,1,4,3,1,Garapenerako lankidetza
2018,1,4,4,,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2018,1,4,4,1,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2018,1,4,5,,Europar Batasunarekiko harremanak
2018,1,4,5,1,Europar Batasunarekiko harremanak
2018,1,4,6,,Kanpo-harremanak
2018,1,4,6,1,Kanpo-harremanak
2018,2,,,,Gizarte-babesaren eta sustapenaren jarduketak
2018,2,1,,,Pentsioak
2018,2,1,1,,Kotizaziopeko pentsioa
2018,2,1,1,1,Kotizaziopeko pentsioa
2018,2,1,1,2,Klase pasiboen pentsioak
2018,2,1,1,3,Klase pasiboen beste pentsio eta prestazio batzuk
2018,2,1,2,,Ordaindutakoaren araberakoak ez diren pentsioak
2018,2,1,2,1,Ekarpenezkoak ez diren pentsioak eta laguntza-prestazioak
2018,2,2,,,Beste prestazio ekonomiko batzuk
2018,2,2,2,,Mutualismo administratiboaren prestazio ekonomikoak
2018,2,2,2,1,Montepioak eta mutualitateak
2018,2,2,3,,Jarduera uzteagatiko prestazio ekonomikoak
2018,2,2,3,1,Jarduera uzteagatiko prestazio ekonomikoak
2018,2,2,4,,Beste prestazio ekonomiko batzuk
2018,2,2,4,1,Beste prestazio ekonomiko batzuk
2018,2,3,,,Gizarte-zerbitzuak eta gizarte-sustapena
2018,2,3,1,,Gizarte-ekintza
2018,2,3,1,0,Gizarte-babesaren eta sustapenaren programazio orokorra
