#año,area,politica,grupo,programa,descripcion
2018,1,,,,Servicios públicos básicos
2018,1,1,,,Justicia
2018,1,1,1,,Administración general de justicia
2018,1,1,1,2,Dirección y servicios generales de justicia
2018,1,1,1,5,Formación del personal de justicia
2018,1,1,2,,Administración de justicia
2018,1,1,2,1,Órganos judiciales
2018,1,1,4,,Protección jurídica del menor
2018,1,1,4,1,Protección jurídica del menor
2018,1,3,,,Seguridad ciudadana e instituciones penitenciarias
2018,1,3,1,,Administración general de seguridad y protección civil
2018,1,3,1,1,Dirección y servicios generales de seguridad y protección civil
2018,1,3,1,2,Formación de las fuerzas de la Policía Foral
2018,1,3,2,,Seguridad y orden público
2018,1,3,2,1,Seguridad ciudadana
2018,1,3,2,2,Seguridad vial
2018,1,3,2,4,Actuaciones policiales en otras materias
2018,1,3,3,,Instituciones penitenciarias
2018,1,3,3,1,Centros e instituciones penitenciarias
2018,1,3,3,2,"Trabajo, formación y asistencia a reclusos"
2018,1,3,4,,Protección civil
2018,1,3,4,1,Protección civil
2018,1,3,4,2,Prevención y extinción de incendios y salvamento
2018,1,3,5,,Protección de datos
2018,1,3,5,1,Protección de datos de carácter personal
2018,1,4,,,Política exterior
2018,1,4,3,,Cooperación para el desarrollo
2018,1,4,3,1,Cooperación para el desarrollo
2018,1,4,4,,"Cooperación, promoción y difusión cultural en el exterior"
2018,1,4,4,1,"Cooperación, promoción y difusión cultural en el exterior"
2018,1,4,5,,Relaciones con la Unión Europea
2018,1,4,5,1,Relaciones con la Unión Europea
2018,1,4,6,,Relaciones con el exterior
2018,1,4,6,1,Relaciones con el exterior
2018,2,,,,Actuaciones de protección y promoción social
2018,2,1,,,Pensiones
2018,2,1,1,,Pensiones contributivas
2018,2,1,1,1,Pensiones contributivas
2018,2,1,1,2,Pensiones de clases pasivas
2018,2,1,1,3,Otras pensiones y prestaciones de clases pasivas
2018,2,1,2,,Pensiones no contributivas
2018,2,1,2,1,Pensiones no contributivas y prestaciones asistenciales
2018,2,2,,,Otras prestaciones económicas
2018,2,2,2,,Prestaciones económicas del mutualismo administrativo
2018,2,2,2,1,Montepíos y mutualidades
2018,2,2,3,,Prestaciones económicas por cese de actividad
2018,2,2,3,1,Prestaciones económicas por cese de actividad
2018,2,2,4,,Otras prestaciones económicas
2018,2,2,4,1,Otras prestaciones económicas
2018,2,3,,,Servicios sociales y promoción social
2018,2,3,1,,Acción social
2018,2,3,1,0,Programación general de protección y promoción social
2018,2,3,1,2,Acciones en favor de la ciudadanía nacional en el exterior
2018,2,3,1,3,Servicios sociales a personas con discapacidad
2018,2,3,1,4,Servicios sociales a personas mayores
2018,2,3,1,5,Protección a la familia
2018,2,3,1,6,Reinserción social
2018,2,3,1,7,Atención a la infancia
2018,2,3,1,8,Acción social en favor del personal
2018,2,3,1,9,Integración de los inmigrantes
2018,2,3,1,A,Ayudas a entes locales para acción social
2018,2,3,1,B,Autonomía personal y atención a la dependencia
2018,2,3,2,,Promoción social
2018,2,3,2,1,Promoción y servicios a la juventud
2018,2,3,2,2,Igualdad de oportunidades entre mujeres y hombres
2018,2,3,2,3,Actuaciones para la previsión integral de la violencia de género
2018,2,3,2,4,Dirección y servicios generales de promoción social
2018,2,3,3,,Administración general de protección social
2018,2,3,3,1,Dirección y servicios generales de protección social
2018,2,4,,,Fomento del empleo
