#año,area,politica,grupo,programa,EU
2013,1,,,,Oinarrizko zerbitzu publikoak
2013,2,,,,Gizarte-babesaren eta sustapenaren jarduketak
2013,3,,,,Lehentasunezko ondasun publikoen ekoizpena
2013,4,,,,Jarduketa ekonomikoak
2013,9,,,,Izaera orokorreko jarduketak
2013,1,1,,,Justizia
2013,1,3,,,Herritarren segurtasuna eta espetxeak
2013,1,4,,,Kanpo-politika
2013,2,1,,,Pentsioak
2013,2,2,,,Beste prestazio ekonomiko batzuk
2013,2,3,,,Gizarte-zerbitzuak eta gizarte-sustapena
2013,2,4,,,Enpleguaren sustapena
2013,2,6,,,Etxebizitza eskuratzea eta eraikuntzaren sustapena
2013,3,1,,,Osasuna
2013,3,2,,,Hezkuntza
2013,3,3,,,Kultura
2013,4,1,,,"Nekazaritza, abeltzaintza eta elikagaigintza"
2013,4,2,,,Industria eta energia
2013,4,3,,,"Merkataritza, turismoa eta ETEak"
2013,4,4,,,Garraiorako diru-laguntzak
2013,4,5,,,Azpiegiturak
2013,4,6,,,"Ikerketa, garapena eta berrikuntza"
2013,4,9,,,Izaera ekonomikoko beste jarduketa batzuk
2013,9,1,,,Goi-zuzendaritza
2013,9,2,,,Izaera orokorreko zerbitzuak
2013,9,3,,,Finantza- eta zerga-administrazioa
2013,9,4,,,Transferentziak beste Administrazio Publiko batzuetara
2013,9,5,,,Zor publikoa; Herri-zorra
2013,1,1,1.0,,Justizia-administrazio orokorra
2013,1,1,2.0,,Justizia-administrazioa
2013,1,1,4.0,,Adingabearen babes juridikoa
2013,1,3,1.0,,Segurtasuneko eta babes zibileko administrazio orokorra
2013,1,3,2.0,,Segurtasuna eta ordena publikoa
2013,1,3,3.0,,Espetxeen alorra
2013,1,3,4.0,,Babes zibila
2013,1,4,3.0,,Garapenerako lankidetza
2013,1,4,4.0,,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2013,1,4,5.0,,Europar Batasunarekiko harremanak
2013,1,4,6.0,,Kanpo-harremanak
2013,2,1,1.0,,Kotizaziopeko pentsioa
2013,2,1,2.0,,Ordaindutakoaren araberakoak ez diren pentsioak
2013,2,2,4.0,,Beste prestazio ekonomiko batzuk
2013,2,3,1.0,,Gizarte-ekintza
2013,2,3,2.0,,Gizarte-sustapena
2013,2,3,3.0,,Gizarte-babesaren administrazio orokorra
2013,2,4,1.0,,Enplegua eta laneratzea sustatzea
2013,2,4,2.0,,Arautu gabeko lanbide-prestakuntza
