#año,area,politica,grupo,programa,descripcion
2014,1,,,,Servicios públicos básicos
2014,1,1,,,Justicia
2014,1,3,,,Seguridad ciudadana e instituciones penitenciarias
2014,1,4,,,Política exterior
2014,1,1,1,,Administración general de justicia
2014,1,1,2,,Administración de justicia
2014,1,1,4,,Protección jurídica del menor
2014,1,3,1,,Administración general de seguridad y protec.civil
2014,1,3,2,,Seguridad y orden público
2014,1,3,3,,Instituciones penitenciarias
2014,1,3,4,,Protección civil
2014,1,3,5,,Protección de datos
2014,1,4,3,,Cooperación para el desarrollo
2014,1,4,4,,"Cooperac., promoc. y difus. cultur. en el exterior"
2014,1,4,5,,Relaciones con la Unión Europea
2014,1,4,6,,Relaciones con el exterior
2014,1,1,1,2,Dirección y servicios generales de justicia
2014,1,1,1,5,Formación del personal de justicia
2014,1,1,2,1,Órganos judiciales
2014,1,1,4,1,Protección jurídica del menor
2014,1,3,1,1,Dir. y servic. grales. de segurid. y protec. civil
2014,1,3,1,2,Formación de las fuerzas de la Policía Foral
2014,1,3,2,1,Seguridad ciudadana
2014,1,3,2,2,Seguridad vial
2014,1,3,2,4,Actuaciones policiales en otras materias
2014,1,3,3,1,Centros e instituciones penitenciarias
2014,1,3,3,2,"Trabajo, formación y asistencia a reclusos"
2014,1,3,4,1,Protección civil
2014,1,3,4,2,Prevención y extinción de incendios y salvamento
2014,1,3,5,1,Protección de datos de carácter personal
2014,1,4,3,1,Cooperación para el desarrollo
2014,1,4,4,1,"Cooperac., promoc. y difus. cultur. en el exterior"
2014,1,4,5,1,Relaciones con la Unión Europea
2014,1,4,6,1,Relaciones con el exterior
2014,2,,,,Actuaciones de protección y promoción social
2014,2,1,,,Pensiones
2014,2,2,,,Otras prestaciones económicas
2014,2,3,,,Servicios sociales y promoción social
2014,2,4,,,Fomento del empleo
2014,2,5,,,Desempleo
2014,2,6,,,Acceso a la vivienda y fomento de la edificación
2014,2,1,1,,Pensiones contributivas
2014,2,1,2,,Pensiones no contributivas
2014,2,2,2,,Prestaciones económicas del mutualismo admtvo.
2014,2,2,3,,Prestaciones económicas por cese de actividad
2014,2,2,4,,Otras prestaciones económicas
2014,2,3,1,,Acción social
2014,2,3,2,,Promoción social
2014,2,3,3,,Administración general de protección social
2014,2,4,1,,Promoción del empleo y de la inserción laboral
2014,2,4,2,,Formación profesional no reglada
2014,2,5,1,,Asistencia al desempleo
2014,2,6,1,,Acceso a la vivienda y fomento de la edificación
2014,2,1,1,1,Pensiones contributivas
2014,2,1,1,2,Pensiones de clases pasivas
2014,2,1,1,3,Otras pensiones y prestaciones de clases pasivas
2014,2,1,2,1,Pensiones no contributivas y presta. asistenciales
2014,2,2,2,1,Montepíos y mutualidades
2014,2,2,3,1,Prestaciones económicas por cese de actividad
2014,2,2,4,1,Otras prestaciones económicas
2014,2,3,1,0,Programac. gral. protección y promoción social
2014,2,3,1,2,Acciones en favor de ciudadanía nac. en exterior
2014,2,3,1,3,Servicios sociales a personas con discapacidad
2014,2,3,1,4,Servicios sociales a personas mayores
2014,2,3,1,5,Protección a la familia
2014,2,3,1,6,Reinserción social
2014,2,3,1,7,Atención a la infancia
2014,2,3,1,8,Acción social en favor del personal
2014,2,3,1,9,Integración de los inmigrantes
2014,2,3,1,A,Ayudas a entes locales para acción social
2014,2,3,1,B,Autonomía personal y atención a la dependencia
2014,2,3,2,1,Promoción y servicios a la juventud
2014,2,3,2,2,Igualdad de oportunidades entre mujeres y hombres
2014,2,3,2,3,Actuac. para previsión integral violencia género
2014,2,3,2,4,Dirección y servicios generales promoción social
2014,2,3,3,1,Dirección y servicios generales protección social
2014,2,4,1,1,Fomento de la inserción y estabilidad laboral
2014,2,4,1,2,Desarr. economía social y responsab. social empre.
2014,2,4,1,3,Actuaciones en el mercado de trabajo
2014,2,4,2,1,Formación profesional ocupacional
2014,2,4,2,2,Escuelas taller casas de oficios talleres de emple
2014,2,5,1,1,Prestaciones a los desempleados
2014,2,6,1,1,Dirección y servicios generales de vivienda
2014,2,6,1,2,Promoción y administración de viviendas
2014,2,6,1,3,Ordenación y fomento de la edificación
2014,2,6,1,4,Ayudas rehabilitac. construcción y acceso vivienda
2014,2,6,1,5,Mantenimiento y mejora del patrimonio inmobiliario
2014,2,6,1,6,Manten. mejora infraestr.urbana en ámbito municip.
2014,2,6,1,7,Urbanismo y política del suelo
2014,3,,,,Producción de bienes públicos de carácter preferente
2014,3,1,,,Sanidad
2014,3,2,,,Educación
2014,3,3,,,Cultura
2014,3,1,1,,Administración general de sanidad
2014,3,1,2,,"Hospitales, servicios asistenciales centros salud"
2014,3,1,3,,Acciones públicas relativas a la salud
2014,3,2,1,,Administración general de educación
2014,3,2,2,,Enseñanza
2014,3,2,3,,Promoción educativa
2014,3,2,4,,Servicios complementarios de la enseñanza
2014,3,2,5,,Infraestructura
2014,3,3,1,,Administración general de cultura
2014,3,3,2,,Bibliotecas y archivos
2014,3,3,3,,Museos y artes plásticas
2014,3,3,4,,Promoción cultural
2014,3,3,5,,Artes escénicas
2014,3,3,6,,Deportes y educación física
2014,3,3,7,,Arqueología y protec. patrim. histórico-artístico
2014,3,1,1,1,Dir. y ser. generales de sanidad y política social
2014,3,1,1,2,Formación sanitaria
2014,3,1,2,1,Asistencia sanitaria del Mutualismo Administrativo
2014,3,1,2,2,Atención primaria de salud
2014,3,1,2,3,Atención especializada de salud
2014,3,1,2,4,Asistencia psiquiátrica y psíquica
2014,3,1,2,6,Asistencia sanitaria en otras instituciones sanit.
2014,3,1,2,7,Servicios auxiliares de centros sanitarios
2014,3,1,2,8,Infraestructura equipamiento de centros sanitarios
2014,3,1,2,9,Servicios complementarios
2014,3,1,3,1,Oferta uso racional medicamento y prod.sanitarios
2014,3,1,3,2,Salud pública y sanidad exterior
2014,3,1,3,3,Seguridad alimentaria y nutrición
2014,3,1,3,4,"Terapias avanz., medicina regenerativa y transpla."
2014,3,1,3,9,Otras acciones públicas de protección de la salud
2014,3,2,1,1,Dirección y servicios generales de educación
2014,3,2,1,2,Formación permanente del profesorado de educación
2014,3,2,2,0,Dirección y servicios generales de enseñanza
2014,3,2,2,1,Educación infantil
2014,3,2,2,2,Educación secundaria
2014,3,2,2,3,Enseñanzas universitarias
2014,3,2,2,4,Educación especial
2014,3,2,2,5,Enseñanzas artísticas
2014,3,2,2,7,Educación compensatoria y de adultos
2014,3,2,2,8,Educación permanente y a distancia no universitari
2014,3,2,2,9,"Otras enseñanzas (idiomas, especiales y otros)"
2014,3,2,2,A,Nuevas tecnologías aplicadas a la educación
2014,3,2,2,C,Bachillerato
2014,3,2,2,D,Educación primaria
2014,3,2,2,E,Formación profesional
2014,3,2,2,F,Educación en el exterior
2014,3,2,2,G,Deporte en edad escolar y en la universidad
2014,3,2,3,1,Becas y ayudas a estudiantes
2014,3,2,4,1,Servicios complementarios de la enseñanza
2014,3,2,4,2,Apoyo a otras actividades educativas
2014,3,2,5,1,"Construcción, equipamiento y material didáctico"
2014,3,3,1,1,Dirección y servicios generales de cultura
2014,3,3,2,1,Archivos
2014,3,3,2,2,Bibliotecas
2014,3,3,3,1,Museos
2014,3,3,3,2,Exposiciones
2014,3,3,4,1,Promoción y cooperación cultural
2014,3,3,4,2,Promoción del libro y publicaciones culturales
2014,3,3,4,3,Fomento de las industrias culturales
2014,3,3,5,1,Música y danza
