#año,area,politica,grupo,programa,EU
2026,1,,,,Oinarrizko zerbitzu publikoak
2026,1,1,,,Justizia
2026,1,1,1,,Justizia-administrazio orokorra
2026,1,1,1,2,Justiziako zuzendaritza eta zerbitzu orokorrak
2026,1,1,1,5,Justiziako langileen prestakuntza
2026,1,1,2,,Justizia-administrazioa
2026,1,1,2,1,Organo judizialak
2026,1,1,4,,Adingabearen babes juridikoa
2026,1,1,4,1,Adingabearen babes juridikoa
2026,1,3,,,Herritarren segurtasuna eta espetxeak
2026,1,3,1,,Segurtasuneko eta babes zibileko administrazio orokorra
2026,1,3,1,1,Segurtasun eta babes zibileko zuzendaritza eta zerbitzu orokorrak
2026,1,3,1,2,Foruzaingoaren prestakuntza
2026,1,3,2,,Segurtasuna eta ordena publikoa
2026,1,3,2,1,Herritarren segurtasuna
2026,1,3,2,2,Bide-segurtasuna
2026,1,3,2,4,Beste alor batzuetako polizia-jarduketak
2026,1,3,3,,Espetxeen alorra
2026,1,3,3,1,Espetxeak
2026,1,3,3,2,"Presoentzako lana, prestakuntza eta laguntza"
2026,1,3,4,,Babes zibila
2026,1,3,4,1,Babes zibila
2026,1,3,4,2,Suteen prebenitu eta itzaltzeko eta salbamenduko zerbitzuak
2026,1,3,5,,Datu-babesa
2026,1,3,5,1,Datu pertsonalen babesa
2026,1,4,,,Kanpo-politika
2026,1,4,3,,Garapenerako lankidetza
2026,1,4,3,1,Garapenerako lankidetza
2026,1,4,4,,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2026,1,4,4,1,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2026,1,4,5,,Europar Batasunarekiko harremanak
2026,1,4,5,1,Europar Batasunarekiko harremanak
2026,1,4,6,,Kanpo-harremanak
2026,1,4,6,1,Kanpo-harremanak
2026,2,,,,Gizarte-babesaren eta sustapenaren jarduketak
2026,2,1,,,Pentsioak
2026,2,1,1,,Kotizaziopeko pentsioa
2026,2,1,1,1,Kotizaziopeko pentsioa
2026,2,1,1,2,Klase pasiboen pentsioak
2026,2,1,1,3,Klase pasiboen beste pentsio eta prestazio batzuk
2026,2,1,2,,Ordaindutakoaren araberakoak ez diren pentsioak
2026,2,1,2,1,Ekarpenezkoak ez diren pentsioak eta laguntza-prestazioak
2026,2,2,,,Beste prestazio ekonomiko batzuk
2026,2,2,2,,Mutualismo administratiboaren prestazio ekonomikoak
2026,2,2,2,1,Montepioak eta mutualitateak
2026,2,2,3,,Jarduera uzteagatiko prestazio ekonomikoak
2026,2,2,3,1,Jarduera uzteagatiko prestazio ekonomikoak
2026,2,2,4,,Beste prestazio ekonomiko batzuk
2026,2,2,4,1,Beste prestazio ekonomiko batzuk
2026,2,3,,,Gizarte-zerbitzuak eta gizarte-sustapena
2026,2,3,1,,Gizarte-ekintza
2026,2,3,1,0,Gizarte-babesaren eta sustapenaren programazio orokorra
2026,2,3,1,2,Atzerrian dauden herrikideen aldeko ekintzak
2026,2,3,1,3,Desgaituentzako gizarte-zerbitzuak
2026,2,3,1,4,Adinekoentzako gizarte-zerbitzuak
2026,2,3,1,5,Familientzako babesa
2026,2,3,1,6,Bergizarteratzea
2026,2,3,1,7,Haurrentzako arreta
2026,2,3,1,8,Langileriaren aldeko gizarte-ekintza
2026,2,3,1,9,Etorkinak gizarteratzea
2026,2,3,1,A,Gizarte-ekintza garatzeko toki-erakundeentzako laguntzak
2026,2,3,1,B,Autonomia pertsonala eta mendetasunari arreta ematea
2026,2,3,2,,Gizarte-sustapena
2026,2,3,2,1,Gazteen sustapena eta gazteentzako zerbitzuak
2026,2,3,2,2,Emakumeen eta gizonen arteko aukera-berdintasuna
2026,2,3,2,3,Genero-indarkeria osotasunean prebenitzeko jarduketak
2026,2,3,2,4,Gizarte-sustapeneko zuzendaritza eta zerbitzu orokorrak
2026,2,3,3,,Gizarte-babesaren administrazio orokorra
2026,2,3,3,1,Gizarte-babeseko zuzendaritza eta zerbitzu orokorrak
2026,2,4,,,Enpleguaren sustapena
2026,2,4,1,,Enplegua eta laneratzea sustatzea
2026,2,4,1,1,Laneratzea eta enplegu-egonkortasuna sustatzea
2026,2,4,1,2,Gizarte-ekonomia eta enpresen gizarte-erantzukizuna garatzea
