#año,gasto_ingreso,capitulo,articulo,concepto,subconcepto,EU
2012,GASTO,4,6,0,,Nafarroako tokiko erakundeei egindako transferentzia arruntak
2012,GASTO,4,7,0,,Enpresa pribatuei egindako transferentzia arruntak
2012,GASTO,4,8,0,,Familiei eta partikularrei egindako transferentzia arruntak
2012,GASTO,4,8,1,,Irabazi-asmorik gabeko erakundeei egindako transferentzia arruntak
2012,GASTO,6,0,0,,Lursailak eta ondasun naturalak
2012,GASTO,6,0,1,,Herri-lanak
2012,GASTO,6,0,2,,Eraikinak eta beste eraikuntza batzuk
2012,GASTO,6,0,3,,"Makineria, instalazioak eta tresneria"
2012,GASTO,6,0,4,,Garraio-materiala
2012,GASTO,6,0,5,,Altzariak eta lanabesak
2012,GASTO,6,0,6,,Informazioa prozesatzeko ekipoak
2012,GASTO,6,0,8,,Bestelako ibilgetu materiala
2012,GASTO,6,0,9,,Ibilgetu immateriala
2012,GASTO,7,3,0,,
2012,GASTO,7,4,0,,Enpresa publikoei egindako kapital-transferentziak
2012,GASTO,7,4,5,,Beste erakunde publiko batzuei egindako kapital-transferentziak
2012,GASTO,7,6,0,,Nafarroako tokiko erakundeei egindako kapital-transferentziak
2012,GASTO,7,7,0,,Enpresa pribatuei egindako kapital-transferentziak
2012,GASTO,7,8,0,,Familiei eta partikularrei egindako kapital-transferentziak
2012,GASTO,7,8,1,,Irabazi-asmorik gabeko erakundeei egindako kapital-transferentziak
2012,GASTO,8,2,0,,Sektore publikoari emandako epe laburreko maileguak
2012,GASTO,8,3,1,,Sektore publikotik kanpo emandako epe luzeko maileguak
2012,GASTO,8,4,0,,Gordailuak eratzea eta fidantzatutako obligazioak ez betetzeagatiko ordainketak
2012,GASTO,8,5,0,,Sektore Publikoaren akzioak eta partizipazioak eskuratzea
2012,GASTO,8,6,0,,Sektore Publikotik kanpoko akzioak eta partizipazioak eskuratzea
2012,GASTO,9,0,2,,Epe luzeko obligazioen eta bonuen amortizazioa
2012,GASTO,9,1,2,,Epe luzeko maileguen eta aurrerakinen amortizazioa
2012,GASTO,9,4,0,,"Gordailuak, fidantzak eta bestelakoak itzultzea"
2012,GASTO,1,0,0,0,
2012,GASTO,1,0,0,1,Goi-kargudunen bestelako ordainsariak
2012,GASTO,1,1,0,0,Behin-behineko langileen ordainsariak
2012,GASTO,1,2,0,0,Langile finkoen ordainsariak
2012,GASTO,1,2,1,0,Lanpostu erreserbatuak betetzeko kontratatutako langileen ordainsariak
2012,GASTO,1,2,1,1,Lanpostu hutsetarako kontratatutako langileen ordainsariak
2012,GASTO,1,2,2,0,Aldi baterako langileen ordainsariak
2012,GASTO,1,2,2,1,Kanpainetarako kontratatutako aldi baterako langileen ordainsariak
2012,GASTO,1,2,5,0,Ordezkapenetarako kontratatutako langileen ordainsariak
2012,GASTO,1,4,0,0,
2012,GASTO,1,4,1,0,Ibilbide profesionaleko ordainsariak
2012,GASTO,1,6,0,0,Gizarte Segurantza
2012,GASTO,1,6,0,9,Beste gizarte-kuota batzuk
2012,GASTO,1,6,1,0,Funtzionarioen pentsio arruntak
2012,GASTO,1,6,1,2,Ezohiko pentsioak
2012,GASTO,1,6,1,4,Erretiro aurreratuengatiko kalte-ordainak
2012,GASTO,1,6,2,0,Langileen gizarte-gastuak
2012,GASTO,1,7,0,2,Aparteko orduak
2012,GASTO,1,7,0,3,Jaiegunean lan egiteagatiko gehigarria
2012,GASTO,1,7,0,4,Guardiak egiteagatiko osagarria
2012,GASTO,1,7,0,5,Gaueko txanden osagarria
2012,GASTO,1,7,0,6,Dispertsio geografikoaren osagarria
2012,GASTO,1,7,0,9,Beste ordainsari aldagarri batzuk
2012,GASTO,1,7,1,0,Produktibitate-osagarria
2012,GASTO,1,8,0,0,Langileen beste ordainsari batzuk
2012,GASTO,1,8,1,0,Aurreko ekitaldietako langileen ordainsariak
2012,GASTO,1,8,2,0,Sententziak gauzatzeko ordainsariak eta beste kalte-ordain batzuk
2012,GASTO,2,0,2,0,Eraikinen eta beste eraikuntza batzuen errentamenduak
2012,GASTO,2,0,2,9,Beste ondasun higiezin batzuen errentamenduak
2012,GASTO,2,0,4,0,Garraiobideen errentamendua
2012,GASTO,2,0,5,0,Altzari eta lanabesen errentamenduak
2012,GASTO,2,0,6,1,Programen eta lizentzien errentamenduak
2012,GASTO,2,0,9,0,Kanonak
2012,GASTO,2,1,0,0,Azpiegitura eta ondasun naturalak
2012,GASTO,2,1,2,0,Eraikinak eta beste eraikuntza batzuk
2012,GASTO,2,1,3,0,"Makineria, instalazioak eta tresneria"
2012,GASTO,2,1,4,0,Garraio-elementuak
2012,GASTO,2,1,5,0,Altzariak eta lanabesak
2012,GASTO,2,1,6,0,Ekipamendu informatikoak eta telekomunikazioak
2012,GASTO,2,1,9,0,Bestelako ibilgetu materiala
2012,GASTO,2,2,0,0,Inbentarioan sailka ez daitekeen material arrunta
2012,GASTO,2,2,0,2,"Egunkariak, aldizkariak, liburuak eta bestelako argitalpenak"
2012,GASTO,2,2,0,3,Inbentarioan sailka ez daitekeen material informatikoa
2012,GASTO,2,2,1,0,Elikadura
2012,GASTO,2,2,1,2,Zentroen mantentze-lanen gastuak
2012,GASTO,2,2,1,3,Protesiak
2012,GASTO,2,2,1,4,Kontsumoko tresnak eta tresna txikiak
2012,GASTO,2,2,1,5,Farmakoak
2012,GASTO,2,2,1,6,Kontsumorako osasun materiala
2012,GASTO,2,2,1,7,Osasungintzarako arropak
2012,GASTO,2,2,1,8,Albaitaritza-produktuak
2012,GASTO,2,2,1,9,Beste hornidura berezi batzuk
2012,GASTO,2,2,2,0,Telekomunikazio-zerbitzuak
2012,GASTO,2,2,2,1,Postalak eta mezularitza
2012,GASTO,2,2,2,4,Datu-transmisioak
2012,GASTO,2,2,2,9,Bestelakoak
2012,GASTO,2,2,3,0,Garraio-gastuak
2012,GASTO,2,2,4,0,Eraikinen eta lokalen aseguru-primak
2012,GASTO,2,2,4,1,Ibilgailuen aseguru-primak
2012,GASTO,2,2,4,2,Beste ibilgetu batzuen aseguru-primak
2012,GASTO,2,2,4,9,Bestelako arriskuak
2012,GASTO,2,2,5,0,Tokiko tributuak
2012,GASTO,2,2,5,2,Estatuko tributuak
2012,GASTO,2,2,6,1,Protokolo- eta ordezkaritza-arreta
